analysis_taxon_id,common_name,scientific_name,ebird_taxon_code,source_taxon_concept_ids,taxonomy_version,guild_ids,priority_tier,ecological_mechanism,evidence_strength,expected_direction,expected_timing,count_strategy,taxonomic_complications,support_status,species_model_status,guild_model_status,approval_status
atx_1930f23cc4f8,Surf Scoter,Melanitta perspicillata,sursco,avibase-624078BA,eBird Taxonomy v2025,roe_diving_seaduck,A,roe diving,direct strong,positive local count with possible redistribution,spawn through eggs,detection plus numeric and bounded counts,none known,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_3083477933a8,White-winged Scoter,Melanitta deglandi,whwsco2,avibase-4800D6B6,eBird Taxonomy v2025,roe_diving_seaduck,A,roe diving,direct strong,positive local count with possible redistribution,spawn through eggs,detection plus numeric and bounded counts,none known,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_87b306550dba,Harlequin Duck,Histrionicus histrionicus,harduc,avibase-BCBD2EAE,eBird Taxonomy v2025,roe_diving_seaduck,A,roe diving,direct strong,positive local count,spawn through eggs,detection plus numeric and bounded counts,none known,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_725074cbfcb6,Glaucous-winged Gull,Larus glaucescens,glwgul,avibase-03AC32BA,eBird Taxonomy v2025,gull_roe,A,roe scavenging,direct regional,positive local count,spawn through eggs,detection plus numeric and bounded counts,hybrid records require ambiguity rules,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_e0e678a61ad7,Short-billed Gull,Larus brachyrhynchus,mewgul2,avibase-342F6965,eBird Taxonomy v2025,gull_roe,A,roe scavenging,direct regional,positive local count,spawn through eggs,detection plus numeric and bounded counts,historical common-name change,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_4ae57d328ec6,Greater Scaup,Aythya marila,gresca,avibase-25C94A8F,eBird Taxonomy v2025,roe_diving_seaduck,B,roe diving,direct observational,positive,spawn through eggs,detection plus numeric and bounded counts,scaup sp records stay ambiguous,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_59441ff7abde,Brant,Branta bernicla,brant,avibase-3E04020B,eBird Taxonomy v2025,surface_vegetation_roe,B,vegetation roe,direct assemblage,positive but migration confounded,spawn through eggs,detection plus numeric and bounded counts,forms excluded unless approved,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_40f730f5ad72,Long-tailed Duck,Clangula hyemalis,lotduc,avibase-AF0C7BDE,eBird Taxonomy v2025,roe_diving_seaduck,B,roe diving,mechanistic,positive,spawn through eggs,detection plus numeric and bounded counts,none known,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_1328b44be502,Black Scoter,Melanitta americana,blksco2,avibase-B7B1A5DD,eBird Taxonomy v2025,roe_diving_seaduck,B,roe diving,direct elsewhere,positive,spawn through eggs,detection plus numeric and bounded counts,scoter sp records stay ambiguous,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_d7dd9536145c,Barrow's Goldeneye,Bucephala islandica,bargol,avibase-9456DEDF,eBird Taxonomy v2025,roe_diving_seaduck,B,roe diving,diet evidence,positive,spawn through eggs,detection plus numeric and bounded counts,goldeneye sp records stay ambiguous,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_82312e6f2848,Common Goldeneye,Bucephala clangula,comgol,avibase-68EA281A,eBird Taxonomy v2025,roe_diving_seaduck,B,roe diving,diet evidence,weak positive,spawn through eggs,detection plus numeric and bounded counts,goldeneye sp records stay ambiguous,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_99238953638b,Bufflehead,Bucephala albeola,buffle,avibase-FB738385,eBird Taxonomy v2025,roe_diving_seaduck,B,roe diving,mechanistic,positive,spawn through eggs,detection plus numeric and bounded counts,none known,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_d002764a39e8,Lesser Scaup,Aythya affinis,lessca,avibase-50566E50,eBird Taxonomy v2025,roe_diving_seaduck,C,roe diving,mechanistic,exploratory positive,spawn through eggs,detection first then support-gated count,scaup sp records stay ambiguous,legacy_supported,guild_primary_species_support_gate,registered_not_fitted,provisional_design
atx_35518e24dfdd,Common Merganser,Mergus merganser,commer,avibase-407E2CA8,eBird Taxonomy v2025,piscivore_active_spawn,B,piscivory,diet plausible,positive,active spawn,detection plus numeric and bounded counts,merganser sp records stay ambiguous,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_c2d1fbbaf6d3,Red-breasted Merganser,Mergus serrator,rebmer,avibase-8DB64266,eBird Taxonomy v2025,piscivore_active_spawn,B,piscivory,diet plausible,positive,active spawn,detection plus numeric and bounded counts,merganser sp records stay ambiguous,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_9ae1aa9b7fdf,Common Loon,Gavia immer,comloo,avibase-7E022378,eBird Taxonomy v2025,piscivore_active_spawn,B,piscivory,association plausible,weak positive,active spawn,detection plus numeric and bounded counts,loon sp records stay ambiguous,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_c34f23342a55,Pacific Loon,Gavia pacifica,pacloo,avibase-B7D7EF23,eBird Taxonomy v2025,piscivore_active_spawn,C,piscivory,mechanistic,exploratory positive,active spawn,detection first then support-gated count,loon sp records stay ambiguous,legacy_supported,guild_primary_species_support_gate,registered_not_fitted,provisional_design
atx_04cf65098f13,Red-throated Loon,Gavia stellata,retloo,avibase-6C50988A,eBird Taxonomy v2025,piscivore_active_spawn,C,piscivory,mechanistic,exploratory positive,active spawn,detection first then support-gated count,loon sp records stay ambiguous,legacy_supported,guild_primary_species_support_gate,registered_not_fitted,provisional_design
atx_ebf17f77fb66,Western Grebe,Aechmophorus occidentalis,wesgre,avibase-C6E1197B,eBird Taxonomy v2025,piscivore_active_spawn,B,piscivory,association,heterogeneous,active spawn,detection plus numeric and bounded counts,Aechmophorus ambiguity sensitivity required,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_6b4cfd1ab927,Horned Grebe,Podiceps auritus,horgre,avibase-018B3169,eBird Taxonomy v2025,piscivore_active_spawn,B,piscivory,limited direct,positive,active spawn,detection plus numeric and bounded counts,grebe sp records stay ambiguous,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_86eda7ed9025,Red-necked Grebe,Podiceps grisegena,rengre,avibase-1CBD2CED,eBird Taxonomy v2025,piscivore_active_spawn,B,piscivory,plausible,positive,active spawn,detection plus numeric and bounded counts,grebe sp records stay ambiguous,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_35707a9578d5,Pelagic Cormorant,Urile pelagicus,pelcor,avibase-A429B5B8,eBird Taxonomy v2025,piscivore_active_spawn,B,piscivory,observational direct,positive,active spawn,detection plus numeric and bounded counts,cormorant sp records stay ambiguous,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_98ca0000b734,Brandt's Cormorant,Urile penicillatus,bracor,avibase-987A703D,eBird Taxonomy v2025,piscivore_active_spawn,C,piscivory,outside pilot,exploratory positive,active spawn,detection first then support-gated count,cormorant sp records stay ambiguous,legacy_supported,guild_primary_species_support_gate,registered_not_fitted,provisional_design
atx_a444854c6b66,Double-crested Cormorant,Nannopterum auritum,doccor,avibase-3AC46C54,eBird Taxonomy v2025,piscivore_active_spawn,B,piscivory,plausible,positive or null,active spawn,detection plus numeric and bounded counts,cormorant sp records stay ambiguous,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_fc0a9b777dcd,Bald Eagle,Haliaeetus leucocephalus,baleag,avibase-FED3756C,eBird Taxonomy v2025,shoreline_scavenger,B,shoreline scavenging,observational,positive,active through post,detection plus numeric and bounded counts,none known,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_7b80ddaff058,Great Blue Heron,Ardea herodias,grbher3,avibase-93694BB5,eBird Taxonomy v2025,shoreline_scavenger,C,shoreline predation,plausible,exploratory positive,active through post,detection first then support-gated count,none known,legacy_supported,guild_primary_species_support_gate,registered_not_fitted,provisional_design
atx_c9db024faf12,American Crow,Corvus brachyrhynchos,amecro,avibase-69544B59,eBird Taxonomy v2025,shoreline_scavenger,C,shoreline scavenging,plausible,exploratory positive,active through post,detection first then support-gated count,corvid mixed records excluded,legacy_supported,guild_primary_species_support_gate,registered_not_fitted,provisional_design
atx_c12b832d2b03,California Gull,Larus californicus,calgul,avibase-7FCE8A43,eBird Taxonomy v2025,gull_roe,B,roe scavenging,diet plausible,positive,spawn through eggs,detection plus numeric and bounded counts,gull sp records stay ambiguous,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_7571c026ae99,American Herring Gull,Larus smithsonianus,hergul,avibase-60F32AF8,eBird Taxonomy v2025,gull_roe,B,roe scavenging,diet taxonomy limited,positive,spawn through eggs,detection plus numeric and bounded counts,historical split requires versioned mapping,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_5a9a3495d0ea,Western Gull,Larus occidentalis,wesgul,avibase-575A3E3B,eBird Taxonomy v2025,gull_roe,C,roe scavenging,plausible,positive,spawn through eggs,detection first then support-gated count,hybrid records require ambiguity rules,legacy_supported,guild_primary_species_support_gate,registered_not_fitted,provisional_design
atx_aa5353f6d6d2,Iceland Gull,Larus glaucoides,y00478,avibase-FB4FCB27,eBird Taxonomy v2025,gull_roe,C,roe scavenging,taxonomy limited,exploratory positive,spawn through eggs,detection first then support-gated count,historical complex requires versioned mapping,legacy_supported,guild_primary_species_support_gate,registered_not_fitted,provisional_design
atx_fadb8da1a816,Bonaparte's Gull,Chroicocephalus philadelphia,bongul,avibase-0337440E,eBird Taxonomy v2025,gull_roe,B,roe scavenging,plausible,positive,spawn through eggs,detection plus numeric and bounded counts,none known,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_08bb40b40c0a,Ring-billed Gull,Larus delawarensis,ribgul,avibase-23863F65,eBird Taxonomy v2025,gull_roe,B,roe scavenging,plausible,positive,spawn through eggs,detection plus numeric and bounded counts,gull sp records stay ambiguous,legacy_supported,registered_not_fitted,registered_not_fitted,provisional_design
atx_1812dd827ede,Surfbird,Calidris virgata,surfbi,avibase-11CF8C9A,eBird Taxonomy v2025,intertidal_roe_shorebird,C,intertidal roe,mechanistic,exploratory positive,egg window,detection first then support-gated count,shorebird sp records stay ambiguous,legacy_supported,guild_primary_species_support_gate,registered_not_fitted,provisional_design
atx_15dd5efcd8d6,Black Turnstone,Arenaria melanocephala,blktur,avibase-0413ED30,eBird Taxonomy v2025,intertidal_roe_shorebird,C,intertidal roe,mechanistic,exploratory positive,egg window,detection first then support-gated count,turnstone sp records stay ambiguous,legacy_supported,guild_primary_species_support_gate,registered_not_fitted,provisional_design
atx_b3d3ea90f9cb,Canada Goose,Branta canadensis,cangoo,avibase-B59E1863,eBird Taxonomy v2025,surface_vegetation_roe,C,vegetation roe,mechanistic,exploratory positive,egg window,detection first then support-gated count,forms excluded unless approved,legacy_supported,guild_primary_species_support_gate,registered_not_fitted,provisional_design
atx_815c98107028,Mallard,Anas platyrhynchos,mallar3,avibase-85625D75,eBird Taxonomy v2025,surface_vegetation_roe,C,vegetation roe,mechanistic,exploratory positive,egg window,detection first then support-gated count,domestic forms excluded,legacy_supported,guild_primary_species_support_gate,registered_not_fitted,provisional_design
atx_a113baee5693,American Wigeon,Mareca americana,amewig,avibase-D201EB72,eBird Taxonomy v2025,surface_vegetation_roe,C,vegetation roe,mechanistic,exploratory positive,egg window,detection first then support-gated count,none known,legacy_supported,guild_primary_species_support_gate,registered_not_fitted,provisional_design
atx_7d980a7c8c37,Northern Pintail,Anas acuta,norpin,avibase-56CCA717,eBird Taxonomy v2025,surface_vegetation_roe,C,vegetation roe,mechanistic,exploratory positive,egg window,detection first then support-gated count,none known,legacy_supported,guild_primary_species_support_gate,registered_not_fitted,provisional_design
atx_8608f2ed61cf,Pigeon Guillemot,Cepphus columba,piggui,avibase-2F5DF476,eBird Taxonomy v2025,alcid_piscivore,C,piscivory,plausible,exploratory positive,active spawn,detection first then support-gated count,none known,legacy_supported,guild_primary_species_support_gate,registered_not_fitted,provisional_design
atx_6cbe5bbd310c,Rhinoceros Auklet,Cerorhinca monocerata,rhiauk,avibase-53D94597,eBird Taxonomy v2025,alcid_piscivore,C,piscivory,plausible,exploratory positive,active spawn,detection first then support-gated count,none known,legacy_supported,guild_primary_species_support_gate,registered_not_fitted,provisional_design
atx_136b0e66254b,Common Murre,Uria aalge,commur,avibase-39F29B55,eBird Taxonomy v2025,alcid_piscivore,C,piscivory,plausible,exploratory positive,active spawn,detection first then support-gated count,none known,legacy_supported,guild_primary_species_support_gate,registered_not_fitted,provisional_design
atx_acf526bb8010,Marbled Murrelet,Brachyramphus marmoratus,marmur,avibase-31557374,eBird Taxonomy v2025,alcid_piscivore,C,piscivory,plausible,exploratory positive,active spawn,detection first then support-gated count,none known,legacy_supported,guild_primary_species_support_gate,registered_not_fitted,provisional_design
atx_eeefc021901e,Gadwall,Mareca strepera,gadwal,avibase-C235A4D7,eBird Taxonomy v2025,falsification,F,no direct mechanism,no direct mechanism,null expected,same calendar windows,detection falsification only,none known,legacy_supported,registered_falsification_not_fitted,registered_falsification_not_fitted,provisional_design
atx_8f0345249398,Northern Shoveler,Spatula clypeata,norsho,avibase-ED4CE8E7,eBird Taxonomy v2025,falsification,F,no direct mechanism,no direct mechanism,null expected,same calendar windows,detection falsification only,none known,legacy_supported,registered_falsification_not_fitted,registered_falsification_not_fitted,provisional_design
atx_04afbeb21fb0,Hooded Merganser,Lophodytes cucullatus,hoomer,avibase-60E6081E,eBird Taxonomy v2025,piscivore_active_spawn,C,piscivory,weaker marine mechanism,exploratory,active spawn,detection support audit,legacy excluded despite broad candidate listing,legacy_excluded_reassessment_required,not_approved,not_approved,pending_scientific_review
atx_3c2dd2107fbb,Clark's Grebe,Aechmophorus clarkii,clagre,avibase-D05FFEF7,eBird Taxonomy v2025,piscivore_active_spawn,C,piscivory,insufficient legacy support,exploratory,active spawn,detection support audit,Aechmophorus ambiguity sensitivity required,legacy_excluded_reassessment_required,not_approved,not_approved,pending_scientific_review
atx_v2_000001,Eared Grebe,Podiceps nigricollis,eargre,pending,eBird Taxonomy v2025,piscivore_active_spawn,C,piscivory,candidate mechanism,exploratory,active spawn,detection support audit,source concept approval pending,new_candidate_unverified,not_approved,not_approved,pending_taxonomy_and_support_review
atx_v2_000002,Black Oystercatcher,Haematopus bachmani,blkoys,pending,eBird Taxonomy v2025,intertidal_roe_shorebird,C,intertidal roe,candidate mechanism,exploratory,egg window,detection support audit,source concept approval pending,new_candidate_unverified,not_approved,not_approved,pending_taxonomy_and_support_review
atx_v2_000003,Dunlin,Calidris alpina,dunlin,pending,eBird Taxonomy v2025,intertidal_roe_shorebird,C,intertidal roe,candidate mechanism,exploratory,egg window,detection support audit,source concept approval pending,new_candidate_unverified,not_approved,not_approved,pending_taxonomy_and_support_review
atx_v2_000004,Sanderling,Calidris alba,sander,pending,eBird Taxonomy v2025,intertidal_roe_shorebird,C,intertidal roe,candidate mechanism,exploratory,egg window,detection support audit,source concept approval pending,new_candidate_unverified,not_approved,not_approved,pending_taxonomy_and_support_review
atx_v2_000005,Rock Sandpiper,Calidris ptilocnemis,rocsan,pending,eBird Taxonomy v2025,intertidal_roe_shorebird,C,intertidal roe,candidate mechanism,exploratory,egg window,detection support audit,source concept approval pending,new_candidate_unverified,not_approved,not_approved,pending_taxonomy_and_support_review
atx_v2_000006,Black-bellied Plover,Pluvialis squatarola,bkbplo,pending,eBird Taxonomy v2025,intertidal_roe_shorebird,C,intertidal roe,candidate mechanism,exploratory,egg window,detection support audit,source concept approval pending,new_candidate_unverified,not_approved,not_approved,pending_taxonomy_and_support_review
atx_v2_000007,Common Raven,Corvus corax,comrav,pending,eBird Taxonomy v2025,shoreline_scavenger,C,shoreline scavenging,candidate mechanism,exploratory,active through post,detection support audit,source concept approval pending,new_candidate_unverified,not_approved,not_approved,pending_taxonomy_and_support_review
atx_v2_000008,Osprey,Pandion haliaetus,osprey,pending,eBird Taxonomy v2025,shoreline_scavenger,C,piscivorous raptor,candidate mechanism,exploratory,active spawn,detection support audit,source concept approval pending,new_candidate_unverified,not_approved,not_approved,pending_taxonomy_and_support_review
atx_v2_000009,Caspian Tern,Hydroprogne caspia,caster1,pending,eBird Taxonomy v2025,piscivore_active_spawn,C,piscivory,candidate mechanism,exploratory,active spawn,detection support audit,source concept approval pending,new_candidate_unverified,not_approved,not_approved,pending_taxonomy_and_support_review
atx_v2_000010,Common Tern,Sterna hirundo,comter,pending,eBird Taxonomy v2025,piscivore_active_spawn,C,piscivory,candidate mechanism,exploratory,active spawn,detection support audit,source concept approval pending,new_candidate_unverified,not_approved,not_approved,pending_taxonomy_and_support_review
atx_v2_000011,Glaucous Gull,Larus hyperboreus,glagul,pending,eBird Taxonomy v2025,gull_roe,C,roe scavenging,candidate mechanism,exploratory,spawn through eggs,detection support audit,source concept approval pending,new_candidate_unverified,not_approved,not_approved,pending_taxonomy_and_support_review
