parent_candidate_name,analysis_taxon_id,analysis_taxon_key,proposed_role,source_taxon_id,source_first_observed_year,source_last_observed_year,source_all_bc_ebd_records,source_category,source_common_name,source_scientific_name,source_subspecies_common_name,source_subspecies_scientific_name,ebird_taxon_code,official_category,official_common_name,official_scientific_name,official_report_as,effective_source_common_name,effective_source_scientific_name,official_match,name_match,category_match,mapping_treatment,historical_taxonomy_review,zero_fill_eligible_candidate,review_stratum,taxonomy_snapshot_version,taxonomy_snapshot_sha256,approval_status,ambiguity_flag,zero_fill_mapping_eligible,final_mapping_decision,approved_taxonomy_version
Mallard,,,guild_only_exploratory,avibase-07FFC1E5,1994,2025,1503,domestic,Mallard,Anas platyrhynchos,Mallard (Domestic type),Anas platyrhynchos (Domestic type),mallar2,domestic,Mallard (Domestic type),Anas platyrhynchos (Domestic type),mallar3,Mallard (Domestic type),Anas platyrhynchos (Domestic type),TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
Brant,,,secondary_focal,avibase-0A01ABD3,2005,2025,27,form,Brant,Branta bernicla,Brant (Gray-bellied),Branta bernicla (Gray-bellied),gybbra1,form,Brant (Gray-bellied),Branta bernicla (Gray-bellied),brant,Brant (Gray-bellied),Branta bernicla (Gray-bellied),TRUE,TRUE,TRUE,case_by_case_form_pending,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_form,eBird Taxonomy v2025
Iceland Gull,,,secondary_focal,avibase-12D5BA6C,1988,2025,160,form,Iceland Gull,Larus glaucoides,Iceland Gull (kumlieni/glaucoides),Larus glaucoides kumlieni/glaucoides,icegul,form,Iceland Gull (kumlieni/glaucoides),Larus glaucoides kumlieni/glaucoides,y00478,Iceland Gull (kumlieni/glaucoides),Larus glaucoides kumlieni/glaucoides,TRUE,TRUE,TRUE,case_by_case_form_pending,TRUE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_form,eBird Taxonomy v2025
Iceland Gull,,,secondary_focal,avibase-EE7F1EF9,2015,2025,146,form,Iceland Gull,Larus glaucoides,Iceland Gull (thayeri/kumlieni),Larus glaucoides thayeri/kumlieni,icegul2,form,Iceland Gull (thayeri/kumlieni),Larus glaucoides thayeri/kumlieni,y00478,Iceland Gull (thayeri/kumlieni),Larus glaucoides thayeri/kumlieni,TRUE,TRUE,TRUE,case_by_case_form_pending,TRUE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_form,eBird Taxonomy v2025
,,,,avibase-43E850E2,2006,2025,151,hybrid,American Herring x Glaucous Gull (hybrid),Larus smithsonianus x hyperboreus,"","",x01131,hybrid,American Herring x Glaucous Gull (hybrid),Larus smithsonianus x hyperboreus,"",American Herring x Glaucous Gull (hybrid),Larus smithsonianus x hyperboreus,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-E22B6ADA,1998,2025,2821,hybrid,American Herring x Glaucous-winged Gull (hybrid),Larus smithsonianus x glaucescens,"","",x00050,hybrid,American Herring x Glaucous-winged Gull (hybrid),Larus smithsonianus x glaucescens,"",American Herring x Glaucous-winged Gull (hybrid),Larus smithsonianus x glaucescens,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-FA82C17D,2003,2003,1,hybrid,American Herring/Vega/European Herring x Glaucous Gull (hybrid),Larus smithsonianus/vegae/argentatus x hyperboreus,"","",nelgul,hybrid,American Herring/Vega/European Herring x Glaucous Gull (hybrid),Larus smithsonianus/vegae/argentatus x hyperboreus,"",American Herring/Vega/European Herring x Glaucous Gull (hybrid),Larus smithsonianus/vegae/argentatus x hyperboreus,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-11C2B1A1,2021,2025,27,hybrid,American Wigeon x Green-winged Teal (hybrid),Mareca americana x Anas crecca,"","",x00646,hybrid,American Wigeon x Green-winged Teal (hybrid),Mareca americana x Anas crecca,"",American Wigeon x Green-winged Teal (hybrid),Mareca americana x Anas crecca,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-64C6F7F0,2015,2025,7,hybrid,American Wigeon x Mallard (hybrid),Mareca americana x Anas platyrhynchos,"","",x00611,hybrid,American Wigeon x Mallard (hybrid),Mareca americana x Anas platyrhynchos,"",American Wigeon x Mallard (hybrid),Mareca americana x Anas platyrhynchos,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-D280B584,2020,2021,7,hybrid,American Wigeon x Northern Pintail (hybrid),Mareca americana x Anas acuta,"","",x00196,hybrid,American Wigeon x Northern Pintail (hybrid),Mareca americana x Anas acuta,"",American Wigeon x Northern Pintail (hybrid),Mareca americana x Anas acuta,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-7EA678E2,2017,2021,6,hybrid,Barrow's Goldeneye x Hooded Merganser (hybrid),Bucephala islandica x Lophodytes cucullatus,"","",x00426,hybrid,Barrow's Goldeneye x Hooded Merganser (hybrid),Bucephala islandica x Lophodytes cucullatus,"",Barrow's Goldeneye x Hooded Merganser (hybrid),Bucephala islandica x Lophodytes cucullatus,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-6504986B,2013,2024,13,hybrid,Blue-winged Teal x Northern Shoveler (hybrid),Spatula discors x clypeata,"","",x00629,hybrid,Blue-winged Teal x Northern Shoveler (hybrid),Spatula discors x clypeata,"",Blue-winged Teal x Northern Shoveler (hybrid),Spatula discors x clypeata,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-0AD8EA9D,2012,2022,34,hybrid,Bufflehead x Common Goldeneye (hybrid),Bucephala albeola x clangula,"","",x00655,hybrid,Bufflehead x Common Goldeneye (hybrid),Bucephala albeola x clangula,"",Bufflehead x Common Goldeneye (hybrid),Bucephala albeola x clangula,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-43A28512,2020,2020,1,hybrid,Bufflehead x goldeneye sp. (hybrid),Bucephala albeola x clangula/islandica,"","",x00909,hybrid,Bufflehead x goldeneye sp. (hybrid),Bucephala albeola x clangula/islandica,"",Bufflehead x goldeneye sp. (hybrid),Bucephala albeola x clangula/islandica,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-6712E378,2015,2023,9,hybrid,Cinnamon Teal x Northern Shoveler (hybrid),Spatula cyanoptera x clypeata,"","",x00630,hybrid,Cinnamon Teal x Northern Shoveler (hybrid),Spatula cyanoptera x clypeata,"",Cinnamon Teal x Northern Shoveler (hybrid),Spatula cyanoptera x clypeata,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-63620B41,1995,2022,4,hybrid,Common Goldeneye x Hooded Merganser (hybrid),Bucephala clangula x Lophodytes cucullatus,"","",x00425,hybrid,Common Goldeneye x Hooded Merganser (hybrid),Bucephala clangula x Lophodytes cucullatus,"",Common Goldeneye x Hooded Merganser (hybrid),Bucephala clangula x Lophodytes cucullatus,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-8DE9CD30,1995,2025,141,hybrid,Common x Barrow's Goldeneye (hybrid),Bucephala clangula x islandica,"","",cxbgol1,hybrid,Common x Barrow's Goldeneye (hybrid),Bucephala clangula x islandica,"",Common x Barrow's Goldeneye (hybrid),Bucephala clangula x islandica,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-4658C834,2014,2025,192,hybrid,Domestic goose sp. x Canada Goose (hybrid),Anser sp. (Domestic type) x Branta canadensis,"","",x00759,hybrid,Domestic goose sp. x Canada Goose (hybrid),Anser sp. (Domestic type) x Branta canadensis,"",Domestic goose sp. x Canada Goose (hybrid),Anser sp. (Domestic type) x Branta canadensis,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-ADF3B0C2,1990,2025,954,hybrid,Eurasian x American Wigeon (hybrid),Mareca penelope x americana,"","",x00421,hybrid,Eurasian x American Wigeon (hybrid),Mareca penelope x americana,"",Eurasian x American Wigeon (hybrid),Mareca penelope x americana,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-861892F3,2020,2020,3,hybrid,Gadwall x American Wigeon (hybrid),Mareca strepera x americana,"","",x00724,hybrid,Gadwall x American Wigeon (hybrid),Mareca strepera x americana,"",Gadwall x American Wigeon (hybrid),Mareca strepera x americana,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-90F488A3,1990,2024,86,hybrid,Gadwall x Mallard (hybrid),Mareca strepera x Anas platyrhynchos,"","",x00420,hybrid,Gadwall x Mallard (hybrid),Mareca strepera x Anas platyrhynchos,"",Gadwall x Mallard (hybrid),Mareca strepera x Anas platyrhynchos,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-080CFDEE,2021,2021,14,hybrid,Gadwall x Northern Pintail (hybrid),Mareca strepera x Anas acuta,"","",x00610,hybrid,Gadwall x Northern Pintail (hybrid),Mareca strepera x Anas acuta,"",Gadwall x Northern Pintail (hybrid),Mareca strepera x Anas acuta,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-C0BCF52B,2005,2025,130,hybrid,Glaucous x Glaucous-winged Gull (hybrid),Larus hyperboreus x glaucescens,"","",x00048,hybrid,Glaucous x Glaucous-winged Gull (hybrid),Larus hyperboreus x glaucescens,"",Glaucous x Glaucous-winged Gull (hybrid),Larus hyperboreus x glaucescens,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-4797A222,2017,2017,7,hybrid,Greater White-fronted x Canada Goose (hybrid),Anser albifrons x Branta canadensis,"","",x00415,hybrid,Greater White-fronted x Canada Goose (hybrid),Anser albifrons x Branta canadensis,"",Greater White-fronted x Canada Goose (hybrid),Anser albifrons x Branta canadensis,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-43C9473C,1988,2024,72,hybrid,Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes,"","",x00004,hybrid,Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes,"",Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-87C71E31,2024,2025,115,hybrid,Mallard x Green-winged Teal (hybrid),Anas platyrhynchos x crecca,"","",x00670,hybrid,Mallard x Green-winged Teal (hybrid),Anas platyrhynchos x crecca,"",Mallard x Green-winged Teal (hybrid),Anas platyrhynchos x crecca,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-C43B9DC2,1988,2025,448,hybrid,Mallard x Northern Pintail (hybrid),Anas platyrhynchos x acuta,"","",x00628,hybrid,Mallard x Northern Pintail (hybrid),Anas platyrhynchos x acuta,"",Mallard x Northern Pintail (hybrid),Anas platyrhynchos x acuta,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-350EA57F,2025,2025,3,hybrid,Mallard x Red-crested Pochard (hybrid),Anas platyrhynchos x Netta rufina,"","",x00648,hybrid,Mallard x Red-crested Pochard (hybrid),Anas platyrhynchos x Netta rufina,"",Mallard x Red-crested Pochard (hybrid),Anas platyrhynchos x Netta rufina,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-CFF55AC9,2009,2025,47,hybrid,Muscovy Duck x Mallard (hybrid),Cairina moschata x Anas platyrhynchos,"","",mdxmal1,hybrid,Muscovy Duck x Mallard (hybrid),Cairina moschata x Anas platyrhynchos,"",Muscovy Duck x Mallard (hybrid),Cairina moschata x Anas platyrhynchos,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-2C1F8DC4,2022,2022,9,hybrid,Northern Pintail x Green-winged Teal (hybrid),Anas acuta x crecca,"","",x00725,hybrid,Northern Pintail x Green-winged Teal (hybrid),Anas acuta x crecca,"",Northern Pintail x Green-winged Teal (hybrid),Anas acuta x crecca,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-C9A40ADF,2011,2024,3,hybrid,Northern Shoveler x Mallard (hybrid),Spatula clypeata x Anas platyrhynchos,"","",x00612,hybrid,Northern Shoveler x Mallard (hybrid),Spatula clypeata x Anas platyrhynchos,"",Northern Shoveler x Mallard (hybrid),Spatula clypeata x Anas platyrhynchos,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-94A6467E,2022,2025,9,hybrid,Ring-billed x California Gull (hybrid),Larus delawarensis x californicus,"","",x01183,hybrid,Ring-billed x California Gull (hybrid),Larus delawarensis x californicus,"",Ring-billed x California Gull (hybrid),Larus delawarensis x californicus,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-BCFDB0E0,2009,2021,4,hybrid,Ring-necked Duck x Greater Scaup (hybrid),Aythya collaris x marila,"","",x00779,hybrid,Ring-necked Duck x Greater Scaup (hybrid),Aythya collaris x marila,"",Ring-necked Duck x Greater Scaup (hybrid),Aythya collaris x marila,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-BCC6A3E7,2017,2023,3,hybrid,Ring-necked Duck x Lesser Scaup (hybrid),Aythya collaris x affinis,"","",x00613,hybrid,Ring-necked Duck x Lesser Scaup (hybrid),Aythya collaris x affinis,"",Ring-necked Duck x Lesser Scaup (hybrid),Aythya collaris x affinis,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-2B052BAC,2023,2023,4,hybrid,Surf x White-winged Scoter (hybrid),Melanitta perspicillata x deglandi,"","",x00882,hybrid,Surf x White-winged Scoter (hybrid),Melanitta perspicillata x deglandi,"",Surf x White-winged Scoter (hybrid),Melanitta perspicillata x deglandi,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-5B8001AC,2016,2017,2,hybrid,Swan x Canada Goose (hybrid),Anser cygnoides x Branta canadensis,"","",swagoo3,hybrid,Swan x Canada Goose (hybrid),Anser cygnoides x Branta canadensis,"",Swan x Canada Goose (hybrid),Anser cygnoides x Branta canadensis,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-22E3C7AB,2024,2024,12,hybrid,Tufted Duck x Greater Scaup (hybrid),Aythya fuligula x marila,"","",x00654,hybrid,Tufted Duck x Greater Scaup (hybrid),Aythya fuligula x marila,"",Tufted Duck x Greater Scaup (hybrid),Aythya fuligula x marila,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-C9E2D2D2,2020,2024,4,hybrid,Tufted Duck x Lesser Scaup (hybrid),Aythya fuligula x affinis,"","",x00653,hybrid,Tufted Duck x Lesser Scaup (hybrid),Aythya fuligula x affinis,"",Tufted Duck x Lesser Scaup (hybrid),Aythya fuligula x affinis,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-1BFB023C,2018,2025,33,hybrid,Western x Clark's Grebe (hybrid),Aechmophorus occidentalis x clarkii,"","",x00427,hybrid,Western x Clark's Grebe (hybrid),Aechmophorus occidentalis x clarkii,"",Western x Clark's Grebe (hybrid),Aechmophorus occidentalis x clarkii,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
,,,,avibase-48386568,1988,2025,27646,hybrid,Western x Glaucous-winged Gull (hybrid),Larus occidentalis x glaucescens,"","",x00051,hybrid,Western x Glaucous-winged Gull (hybrid),Larus occidentalis x glaucescens,"",Western x Glaucous-winged Gull (hybrid),Larus occidentalis x glaucescens,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
